"CODE";"NAME";"SECTOR";"LANGUAGE";"CURRENCY";"NPWP";"ACCOUNT_CODE";"NOTE";"ACC_VENDOR_CODE";"SHORT_NAME"
"1512";CHANDRA MULIA PERMAI, PT;BRTL;ID;IDR;;;;;CHANDRA MULIA PERMAI, PT
"1513";DANPAC PHARMA, PT;BRTL;ID;IDR;;;;;DANPAC PHARMA, PT
"1514";LAPIAZZA;BRTL;ID;IDR;;;;L00044-AB/I;LAPIAZZA
"1515";NEWBOY INDONESIA PT.;BRTL;ID;IDR;XX;X;X;;
"1517";TIRTA LOKA SEJAHTERA ;BRTL;ID;IDR;;;;;
"1518";SUNRICA MUTIARA, PT;BRTL;ID;IDR;X;X;X;;
"1519";KREATIF BERSAMA, PT;BRTL;ID;IDR;"02.450.234.6-014.000";K00057-AG/I;;K00057-AG/I;KREATIF BERSAMA, PT
"1520";FALCON PICTURES [FALCON INTERACTIVE];BRTL;ID;IDR;"02.388.867.0-61.000";;;;FALCON PICTURES [FALCON INTERACTIVE]
"1521";CHANDRA MULIA PERMAI, PT;BRTL;ID;IDR;;;;;
"1522";PRATINIDA LATANSA, PT;BRTL;ID;IDR;;;;;
"1526";RADIO MUSIC CITY;BRTL;ID;IDR;;;;;
"1527";XY KIDS;BRTL;ID;IDR;X;X;;;
"1528";OKI NIRMALA;BRTL;ID;IDR;X;X;;;
"1529";TEXAS CHICKEN;BRTL;ID;IDR;X;X;X;;
"1530";BINTANG KUPU KUPU, PT;BRTL;ID;IDR;;;;;BINTANG KUPU KUPU, PT
"1531";[BANNED] INDIKA TELEMEDIA MOBILE. PT;BRTL;ID;IDR;"02.107.579.1-077.000";;;;[BANNED] INDIKA TELEMEDIA MOBILE. PT
"1532";ASIA BERSAUDARA SOLUSINDO, CV;BRTL;ID;IDR;;;;;ASIA BERSAUDARA SOLUSINDO, CV
"1533";INDONESIAN DANCE FESTIVAL VIII 2006;BRTL;ID;IDR;;;;I00050-AB/I;INDODANCE
"1535";YAMAHA MOTOR CO. JAPAN;BRTL;ID;IDR;XXXX;XXXX;XXXX;;
"1536";OZE .PT;BRTL;ID;IDR;;;;;
"1537";KARTIKA GRAHA HOTEL ;BRTL;ID;IDR;X;X;X;K00050-AB/I;KARTIKAGRAHAHOTEL
"1538";STAR PT.;BRTL;ID;IDR;X;X;X;;
"1541";MARIZA FOOD, PT;BRTL;ID;IDR;;;;;
"1543";ADI KARYA VISI,  PT;BRTL;ID;IDR;;;;;ADI KARYA VISI,  PT
"1544";YUDHISTIRA, PT;BRTL;ID;IDR;;;;Y00003-AB/I;YUDHISTIRA
"1546";MITRA RAJAWALI BANJARAN, PT;BRTL;ID;IDR;;;;;
"1547";CALCUSOL UNGGUL MEDIKA, PT;BRTL;ID;IDR;;;;;CALCUSOL UNGGUL MEDIKA, PT
"1549";PEMDA KALSEL;BRTL;ID;IDR;;;;;PEMDA KALSEL
"1552";USFI, PT;BRTL;ID;IDR;;;;;USFI, PT
"1553";KEMBANG BULAN FARMA PT.;BRTL;ID;IDR;;;;;KEMBANG BULAN FARMA PT.
"1554";MAJALAH ORBIT;BRTL;ID;IDR;;;;M00099-AB/I;MAJALAH ORBIT
"1555";SOFTEX;BRTL;ID;IDR;;;;;
"1556";HANAMASA;BRTL;ID;IDR;;;;;
"1557";TRIAS MULYA ABADI PERKASA;BRTL;ID;IDR;"01.340.895.0-022.000";;;T00060-AG/I;TRIAS MULYA
"1559";SOFTEX INDONESIA, PT;BRTL;ID;IDR;;;;;
"1560";PEMDA JABAR;BRTL;ID;IDR;X;X;X;;
"1561";ISWARI MENINJAU MASA, CV;BRTL;ID;IDR;"01.628.694.0-003.000";;;;ISWARI MENINJAU MASA, CV
"1562";QUADRANT SINERGI KOMUNIKASI, PT;BRTL;ID;IDR;"02.062.468.0-071.000";C00091-AG/I;;C00091-AG/I;QUADRANT SINERGI KOMUNIKASI, PT
"1563";INFINITI PT.;BRTL;ID;IDR;;;;;
"1564";BUBU CHIKA;BRTL;ID;IDR;;;;;BUBU CHIKA
"1565";GUANDONG AULDEY TOY INDUSTRY, LTD;BRTL;ID;IDR;;;;;
"1566";[BANNED] BAKRIE TELECOM Tbk, PT;BRTL;ID;IDR;"01.642.566.2-092.000";B00100-AD/I;;B00100-AD/I;[BANNED] BAKRIE TELECOM Tbk, PT
"1567";OILUM;BRTL;ID;IDR;;;;;
"1569";INDORAYA KRIDA MAKMUR,PT;BRTL;ID;IDR;X;X;;I00052-AG/I;INDORAYA KRIDA
"1570";KEMENTRIAN PEMBANGUNAN DAERAH TERTINGGAL;BRTL;ID;IDR;X;X;X;;
"1572";XXXXXXRABA KOMUNIKATAMA, PT;BRTL;ID;IDR;"01.900.136.0.058.000";R00053-AG/I;;R00053-AG/I;XXXXXXRABA KOMUNIKATAMA, PT
"1573";PERPUSTAKAAN;BRTL;ID;IDR;;;;P00092-AG/I;PERPUSTAKAAN
"1574";INTEGRA;BRTL;ID;IDR;;;;;
"1575";FRONTLINE;BRTL;ID;IDR;;;;;
"1576";SAYAP MAS UTAMA, PT;BRTL;ID;IDR;;;;;
"1577";KYMCO LIPPO MOTOR INDONESIA, PT;BRTL;ID;IDR;;;;;
"1578";CITRA PARIWARA;BRTL;ID;IDR;X;X;X;;
"1580";WAHANA INTER MEDIA;BRTL;ID;IDR;;;;;
"1581";MUTIARA MERDEKA HOTEL PT.;BRTL;ID;IDR;X;X;X;M00100-AB/I;MUTIARA MERDEKA HOTEL
"1583";SIMBIOS CIPTA SINERGI CV;BRTL;ID;IDR;"02.389.248.2-061.000";;;S00140-AG/I;SIMBIOS CIPTA ENERGI
"1586";PKB;BRTL;ID;IDR;;;;;PKB
"1587";INDOFOOD TBK-BOGASARI;BRTL;ID;IDR;;;;;
"1589";BASNAZ;BRTL;ID;IDR;;;;;BASNAZ
"1590";BINTA COLECTION;BRTL;ID;IDR;;;;;BINTA COLECTION
"1595";DEPARTEMEN HUKUM DAN HAM;BRTL;ID;IDR;;;;;
"1579";LAPAMI SUBULUSSALAM;BRTL;ID;IDR;"02.023.824.2-428.000";;;;LAPAMI SUBULUSSALAM
"1585";XXXXXRABA KOMUNIKATAMA PT.;BRTL;ID;IDR;"01.900.136.1.058.000";R00053-AG/I;XXX;R00053-AG/I;XXXXXRABA KOMUNIKATAMA PT.
"1591";KEMENTRIAN PEMBANGUNAN  DAERAH TERTINGGAL;BRTL;ID;IDR;;;;;KEMENTRIAN PEMBANGUNAN  DAERAH TERTINGGAL
"1596";ALENIA PICTURE;BRTL;ID;IDR;;;;;ALENIA PICTURE
"1597";PARTAI BULAN BINTANG;BRTL;ID;IDR;XXXX;XXX;XXX;;
"1598";BLACKBOARD MUSIC;BRTL;ID;IDR;;;;;BLACKBOARD MUSIC
"1600";DEPNAKER;BRTL;ID;IDR;;;;;
"1601";AL JAMILI;BRTL;ID;IDR;XX;;;;AL JAMILI
"1602";GLOBAL PETRO AMERICA OIL;BRTL;ID;IDR;XXX;XXX;XXX;G00047-AB/I;GLOBAL PETRO AMERICA
"1603";PERMATA BIDAKARA BANDUNG;BRTL;ID;IDR;;;;P00105-AB/I;PERMATA BIDAKARA
"1604";SAHID HOTEL YOGYAKARTA;BRTL;ID;IDR;;;;S00142-AB/I;SAHID YOGYA
"1605";SAHID HOTEL SURABAYA;BRTL;ID;IDR;;;;H00039-AB/I;SAHID SURABAYA
"1606";INFINITI INTERGRAL INDONESIA, PT;BRTL;ID;IDR;X;X;X;X;INFINITI INTERGRAL INDONESIA, PT
"1610";KEMENTRIAN PEMBANGUNAN DAERAH TERTINGGAL;BRTL;ID;IDR;;;;K00052-AD/I;KEMENTRIAN PEMB. DAERAH TERTINGGAL
"1612";KOMISI HUKUM NASIONAL ;BRTL;ID;IDR;X;X;X;;
"1613";JAPFA SANTORI INDONESIA PT.;BRTL;ID;IDR;"01.824.379.0.057.000";;;;
"1614";MUNDI MULIA PRAKARSA, PT;BRTL;ID;IDR;;;;M00101-AG/I;MUNDIA MULIA PRAKARSA
"1615";GARUDA PLAZA HOTEL MEDAN;BRTL;ID;IDR;X;X;X;G00048-AB/I;GARUDA PLAZA HOTEL
"1616";DITJEN LPE;BRTL;ID;IDR;;;;;
"1617";PEMDA DKI JAKARTA;BRTL;ID;IDR;;;;;
"1619";MENKO KESRA;BRTL;ID;IDR;;;;;
"1620";PUSPENSOS - DEPSOS;BRTL;ID;IDR;;;;;
"1622";DIVA KREASI MEDIA, PT;BRTL;ID;IDR;"02.271.811.8-432.000";D00069-AG/I;;D00069-AG/I;DIVA KREASI MEDIA, PT
"1624";PB PABBSI;BRTL;ID;IDR;X;X;X;;
"1625";BPH MIGAS;BRTL;ID;IDR;"00000";;;;BPH MIGAS
"1627";DEPT ENERGI DAN SUMBER DAYA MINERAL;BRTL;ID;IDR;;;;;
"1628";BIRO HUKUM DAN HUMAS DEPARTEMEN KESEHATAN;BRTL;ID;IDR;X;;X;;BIRO HUKUM DAN HUMAS DEPARTEMEN KESEHATAN
"1630";MENKOKESRA & DEPKOMINFO;BRTL;ID;IDR;;;;;
"1632";KEMENTRIAN PEMBERDAYAAN PEREMPUAN;BRTL;ID;IDR;;;;;
"1634";PSA KEMENTERIAN PEMBERDAYAAAN PEREMPUAN;BRTL;ID;IDR;;;;;
"1637";ARKONIN;BRTL;ID;IDR;;;;;ARKONIN
"1640";GUBERNUR MALUKU UTARA;BRTL;ID;IDR;;;;;
"1641";DINAS KESEHATAN PROVINSI DKI JAKARTA;BRTL;ID;IDR;;;;;
"1643";CIPTANUSA BUANA SENTOSA PT.;BRTL;ID;IDR;"01.592.173.7005000";;;C00092-AG/I;CIPTANUSA BUANA
"1644";UMUM PEMERINTAH DKI JAKARTA;BRTL;ID;IDR;"00.013.637.4-025.000";"0";;"0";UMUM PEMERINTAH DKI JAKARTA
"1645";DPRD DKI JAKARTA;BRTL;ID;IDR;;;;;DPRD DKI JAKARTA
